Project,previousDate,previousHash,previousValue,changesDate,changesHash,newValue,featureChanges,action
meteor,26-11-2020,f02684ca625cd77da9cf4622cbccc938a868f267,38,07-12-2020,a803584c6c88179a160b82f2bdd3bf326606355c,0,promise_declarations,deletions
meteor,04-02-2021,cca4c965deed153f3b4e84994b13710b5b98485d,37,09-02-2021,d6a3b878856060c35dc729a8f1120d74ff0a3ba3,0,promise_declarations,deletions
meteor,11-02-2021,6e1624fd603abadaaf88778ca8d85ccfa8f71863,38,22-02-2021,5bf40c830704a1cd5f6f4f213c60d96924064882,0,promise_declarations,deletions
meteor,11-03-2021,10d1c8489a703564c19d82b7d6d8f0dd3f7950a1,40,18-03-2021,03cc9972ebd22976afdb1f71079b7ed234b30cdb,0,promise_declarations,deletions
meteor,08-04-2021,558167666a6303ba67b7eb22e23da0fbf859b15d,40,16-04-2021,98663c67ea210f9eacf053ddcd78353c7d19247f,0,promise_declarations,deletions
meteor,24-04-2021,64460b61744280d34bbf0ebd0b5cda80cf7b8d90,40,27-04-2021,58c77c8386939379500050152dea7546db28b408,0,promise_declarations,deletions
meteor,01-06-2021,ba5588429619c6ea6ae880b71dc70d062f70d270,40,08-06-2021,62be572f46f641b1adb5e869730fcfc71d510003,0,promise_declarations,deletions
meteor,07-07-2021,1b874699d0fb076e0070bc6861b4cfceb645d209,40,14-07-2021,fff4bc8bd2ab38bd511dffa2a2b7dbaf2ba9cf0c,0,promise_declarations,deletions
meteor,16-07-2021,0289ce5989a318cc2af71ac8babd71b8fabc8535,49,22-07-2021,903c7bfe872ef081cde5e384c4a7902db5d9f4ab,0,promise_declarations,deletions
meteor,23-07-2021,3f632ed507efb053d6dc886ee4f03ad5b9761ae3,50,29-07-2021,a80dbcad0ffb17269771cd1bccaa3d33b30e72d5,0,promise_declarations,deletions
meteor,03-09-2021,dd53259946fe505f380ccdf4739088f0594da6fc,49,09-09-2021,2e6d4cfbe61aa6da0857a29aad36077cf99140c4,0,promise_declarations,deletions
